room,time,outcome,sale
1,15,21,-0.0
1,15,22,-0.0
1,15,23,-0.0
1,15,24,-0.0
1,15,25,-0.0
1,15,26,-0.0
1,15,27,-0.0
1,15,28,-0.0
1,15,29,-0.0
1,15,30,-0.0
1,15,31,-0.0
1,15,32,31.0
1,15,33,32.0
1,15,34,33.0
1,15,35,34.0
1,15,36,35.0
1,15,37,36.0
1,15,38,37.0
1,15,39,38.0
1,15,40,39.0
1,15,41,40.0
1,15,42,41.0
1,15,43,42.0
1,15,44,43.0
1,15,45,44.0
1,15,46,45.0
1,15,47,46.0
1,15,48,47.0
1,15,49,48.0
1,15,50,49.0
1,15,51,50.0
1,15,52,51.0
1,15,53,52.0
1,15,54,53.0
1,15,55,54.0
1,15,56,55.0
1,15,57,56.0
1,15,58,57.0
1,15,59,58.0
1,15,60,59.0
1,15,61,60.0
1,15,62,61.0
1,15,63,62.0
1,15,64,63.0
1,15,65,64.0
1,15,66,65.0
1,15,67,66.0
1,15,68,67.0
1,15,69,68.0
1,15,70,69.0
1,15,71,70.0
1,15,72,71.0
1,15,73,72.0
1,15,74,73.0
1,15,75,74.0
1,15,76,75.0
1,15,77,76.0
1,15,78,77.0
1,15,79,78.0
1,15,80,79.0
1,15,81,80.0
1,15,82,81.0
1,15,83,82.0
1,15,84,83.0
1,15,85,84.0
1,15,86,85.0
1,15,87,86.0
1,15,88,87.0
1,15,89,-0.0
1,15,90,-0.0
1,15,91,-0.0
1,15,92,-0.0
1,15,93,-0.0
1,15,94,-0.0
1,15,95,-0.0
1,15,96,-0.0
1,15,97,-0.0
1,15,98,-0.0
1,15,99,-0.0
1,15,100,-0.0
1,15,101,-0.0
1,16,1,-0.0
1,16,2,-0.0
1,16,3,-0.0
1,16,4,-0.0
1,16,5,-0.0
1,16,6,-0.0
1,16,7,-0.0
1,16,8,-0.0
1,16,9,-0.0
1,16,10,-0.0
1,16,11,-0.0
1,16,12,-0.0
1,16,13,-0.0
1,16,14,-0.0
1,16,15,-0.0
1,16,16,-0.0
1,16,17,-0.0
1,16,18,-0.0
1,16,19,-0.0
1,16,20,-0.0
1,16,21,-0.0
1,16,22,-0.0
1,16,23,-0.0
1,16,24,-0.0
1,16,25,-0.0
1,16,26,-0.0
1,16,27,-0.0
1,16,28,-0.0
1,16,29,-0.0
1,16,30,-0.0
1,16,31,-0.0
1,16,32,31.0
1,16,33,32.0
1,16,34,33.0
1,16,35,34.0
1,16,36,35.0
1,16,37,36.0
1,16,38,37.0
1,16,39,38.0
1,16,40,39.0
1,16,41,40.0
1,16,42,41.0
1,16,43,42.0
1,16,44,43.0
1,16,45,44.0
1,16,46,45.0
1,16,47,46.0
1,16,48,47.0
1,16,49,48.0
1,16,50,49.0
1,16,51,50.0
1,16,52,51.0
1,16,53,52.0
1,16,54,53.0
1,16,55,54.0
1,16,56,55.0
1,16,57,56.0
1,16,58,57.0
1,16,59,58.0
1,16,60,59.0
1,16,61,60.0
1,16,62,61.0
1,16,63,62.0
1,16,64,63.0
1,16,65,64.0
1,16,66,65.0
1,16,67,66.0
1,16,68,67.0
1,16,69,68.0
1,16,70,69.0
1,16,71,70.0
1,16,72,71.0
1,16,73,72.0
1,16,74,73.0
1,16,75,74.0
1,16,76,75.0
1,16,77,76.0
1,16,78,77.0
1,16,79,78.0
1,16,80,79.0
1,16,81,80.0
1,16,82,81.0
1,16,83,82.0
1,16,84,83.0
1,16,85,84.0
1,16,86,85.0
1,16,87,86.0
1,16,88,87.0
1,16,89,-0.0
